Group,count
Plasmid_Library,106556
DNAse_resistant_AAVs,38838
Infective_AAVs,1845
Sox10-_striatum,1389
Sox10+_IC,1332
Sox10+_striatum,1151
Sox10-_IC,1141
Sox10+_sort_pooled,449
Sox10-_sort_pooled,168
Sox10+_midbrain,126
Cerebellum,124
Medulla,122
Fimbria,84
Optic_tract,53
Corpus_callosum,45
Forebrain_ventricle,27
Posterior_commisure,23
Stria_medularis,21
Striatal_ventricle,12
Infectiv_AAV in DNA_resistant_AAV,1721 (0.9328%)
Infectiv_AAV in Plasmid_library,1845 (1.0%)
DNA_resistant_AAV in Plasmid_library,38838 (1.0%)
